grass location: 
544, 112 
288, 304 
576, 112 
192, 176 
512, 0 
448, 176 
640, 304 
128, 304 
160, 272 
64, 112 
96, 288 
480, 96 
320, 160 
416, 48 
512, 384 
0, 208 
192, 368 
640, 352 
416, 272 
96, 336 

mine index: 
(9, 10 , 11), (9) 
(36, 37 , 38), (10) 
(42, 43 , 44), (6) 
(12, 13 , 14), (6) 
(21, 22 , 23), (22) 
(24, 25 , 26), (7) 
(9, 10 , 11), (16) 
(39, 40 , 41), (24) 
(27, 28 , 29), (4) 
(30, 31 , 32), (9) 
(30, 31 , 32), (19) 
(36, 37 , 38), (21) 
(12, 13 , 14), (20) 
(3, 4 , 5), (2) 
(21, 22 , 23), (10) 
(18, 19 , 20), (22) 
(36, 37 , 38), (2) 
(18, 19 , 20), (13) 
(30, 31 , 32), (11) 
(39, 40 , 41), (0) 

player location: 
33 97
